Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Black Lotus",1,53155,Bonus,VMA,4/325,No,No,0
"City of Brass",1,48876,Rare,MMA,221/229,No,No,0
"Underground Sea",1,53097,Rare,VMA,323/325,No,No,0
"Goblin Guide",1,34374,Rare,ZEN,126/249,No,No,0
"Llanowar Elves",1,41605,Common,M12,182/249,No,No,0
"Scrubland",1,53087,Rare,VMA,313/325,No,No,0
"Volcanic Island",1,53099,Rare,VMA,324/325,No,No,0
"Umezawa's Jitte",1,21603,Rare,BOK,163/165,No,No,0
"Skullclamp",1,20551,Uncommon,DST,140/165,No,No,0
"Taiga",1,53089,Rare,VMA,317/325,No,No,0
"Batterskull",1,39974,Mythic Rare,NPH,130/175,No,No,0
"Tropical Island",1,53093,Rare,VMA,321/325,No,No,0
"Mox Ruby",1,53243,Bonus,VMA,8/325,No,No,0
"Scalding Tarn",1,34590,Rare,ZEN,223/249,No,No,0
"Marsh Flats",1,34646,Rare,ZEN,219/249,No,No,0
"Temple Garden",1,23594,Rare,RAV,284/306,No,No,0
"Tolarian Academy",1,52761,Mythic Rare,VMA,319/325,No,No,0
"Mishra's Workshop",1,53163,Mythic Rare,VMA,305/325,No,No,0
"Cabal Coffers",1,31471,Uncommon,PRM,122/1158,No,No,0
"Mutavault",1,49135,Rare,M14,228/249,No,No,0
"Strip Mine",1,52853,Rare,VMA,316/325,No,No,0
"Yavimaya Hollow",1,52817,Rare,VMA,325/325,No,No,0
"Watery Grave",1,47471,Rare,GTC,249/249,No,No,0
"Urborg, Tomb of Yawgmoth",1,26479,Rare,PLC,165/165,No,No,0
"The Tabernacle at Pendrell Vale",1,60450,Promo,PRM,/1158,No,No,0
"Mother of Runes",1,59649,Promo,PRM,/1158,No,No,0
"Rishadan Port",1,55739,Promo,PRM,/1158,No,No,0
"Bayou",1,53079,Rare,VMA,293/325,No,No,0
"Liliana of the Veil",1,42616,Mythic Rare,ISD,105/264,No,No,0
"Badlands",1,53077,Rare,VMA,291/325,No,No,0
"Hallowed Fountain",1,71542,Rare,RNA,251/259,No,No,0
"Ancestral Recall",1,53177,Bonus,VMA,1/325,No,No,0
"Steel Hellkite",1,38161,Rare,SOM,205/249,No,No,0
"Mox Diamond",1,37637,Mythic Rare,V10,10/15,No,No,0
"Lightning Bolt",1,37240,Common,M11,149/249,No,No,0
"Tectonic Edge",1,35589,Uncommon,WWK,145/145,No,No,0
"Misty Rainforest",1,34622,Rare,ZEN,220/249,No,No,0
"Verdant Catacombs",1,34704,Rare,ZEN,229/249,No,No,0
"Mox Emerald",1,52877,Bonus,VMA,5/325,No,No,0
"Mox Jet",1,52713,Bonus,VMA,6/325,No,No,0
"Mox Pearl",1,52597,Bonus,VMA,7/325,No,No,0
"Mox Sapphire",1,52919,Bonus,VMA,9/325,No,No,0
"Godless Shrine",1,47453,Rare,GTC,242/249,No,No,0
"Gaea's Cradle",1,59655,Promo,PRM,/1158,No,No,0
"Flooded Strand",1,54194,Rare,KTK,233/269,No,No,0
"Academy Ruins",1,82652,Rare,2XM,309/332,No,No,0
"Savannah",1,53085,Rare,VMA,311/325,No,No,0
"Tundra",1,53095,Rare,VMA,322/325,No,No,0
"Mana Confluence",1,52120,Rare,JOU,163/165,No,No,0
"Wooded Foothills",1,54200,Rare,KTK,249/269,No,No,0
"Windswept Heath",1,54202,Rare,KTK,248/269,No,No,0
"Polluted Delta",1,54196,Rare,KTK,239/269,No,No,0
"Bazaar of Baghdad",1,53233,Mythic Rare,VMA,294/325,No,No,0
"Evolving Wilds",1,80503,Common,IKO,247/274,No,No,0
"Volrath's Stronghold",1,56866,Mythic Rare,TPR,248/269,No,No,0
"Breeding Pool",1,71532,Rare,RNA,246/259,No,No,0
"Mox Opal",1,57258,Mythic Rare,MM2,223/249,No,No,0
"Ulamog, the Ceaseless Hunger",1,58301,Mythic Rare,BFZ,15/274,No,No,0
"Wasteland",1,60971,Rare,EMA,248/249,No,No,0
"Ancient Tomb",1,70055,Rare,UMA,236/254,No,No,0
"Bloodbraid Elf",1,60911,Uncommon,EMA,197/249,No,No,0
"Force of Will",1,60887,Mythic Rare,EMA,49/249,No,No,0
"Mishra's Factory",1,67398,Uncommon,A25,242/249,No,No,0
"Steam Vents",1,69927,Rare,GRN,257/259,No,No,0
"Sacred Foundry",1,69921,Rare,GRN,254/259,No,No,0
"Overgrown Tomb",1,69919,Rare,GRN,253/259,No,No,0
"Karakas",1,60771,Mythic Rare,EMA,240/249,No,No,0
"Emrakul, the Aeons Torn",1,69995,Mythic Rare,UMA,4/254,No,No,0
"Stomping Ground",1,71558,Rare,RNA,259/259,No,No,0
"Arid Mesa",1,34414,Rare,ZEN,211/249,No,No,0
"City of Traitors",1,56948,Rare,TPR,237/269,No,No,0
"Fabled Passage",1,81719,Rare,M21,246/274,No,No,0
"Prismatic Vista",1,72860,Rare,MH1,244/254,No,No,0
"Jace, the Mind Sculptor",1,82146,Mythic Rare,2XM,56/332,No,No,0
"Chrome Mox",1,82514,Mythic Rare,2XM,240/332,No,No,0
"Library of Alexandria",1,53159,Mythic Rare,VMA,303/325,No,No,0
"Maze of Ith",1,82678,Rare,2XM,322/332,No,No,0
"Ugin, the Spirit Dragon",1,81229,Mythic Rare,M21,1/274,No,No,0
"Blood Crypt",1,71530,Rare,RNA,245/259,No,No,0
"Palladium Myr",1,81695,Uncommon,M21,234/274,No,No,0
"Shimmerdrift Vale",1,87885,Common,KHM,267/285,No,No,0
"Bloodstained Mire",1,54198,Rare,KTK,230/269,No,No,0
"Disenchant",1,82955,Common,ZNR,10/280,No,No,0
"Mind Twist",1,46920,Rare,PRM,1057/1158,No,No,0
"Show and Tell",1,46930,Rare,PRM,1038/1158,No,No,0
"Bribery",1,46928,Rare,PRM,1033/1158,No,No,0
"Dismember",1,43588,Uncommon,PRM,972/1158,No,No,0
"Birds of Paradise",1,37598,Rare,PRM,208/1158,No,No,0
"Time Spiral",1,62221,Promo,PRM,/1158,No,No,0
"Shallow Grave",1,7297,Rare,MI,141/350,No,No,0
"Bonesplitter",1,19829,Common,MRD,146/306,No,No,0
"Gilded Lotus",1,20113,Rare,MRD,175/306,No,No,0
